mudra,type,description,meaning,image
Chandrakala,Asamyutha,Thumb and index finger extended,Crescent moon face,images/Chandrakala.jpg
Chandrakala,Asamyutha,Crescent moon shaped hand gesture,Crescent moon face,images/Chandrakala.jpg
Chandrakala,Asamyutha,Hand forming moon shape, Crescent moon face,images/Chandrakala.jpg

Alapadma,Asamyutha,Fingers spread like lotus flower,Lotus beauty full bloom,images/Alapadma.jpg
Alapadma,Asamyutha,Open palm with fingers spread outward,Lotus beauty full bloom,images/Alapadma.jpg
Alapadma,Asamyutha,Hand shaped like blooming flower,Lotus beauty full bloom,images/Alapadma.jpg

Anjali,Samyutha,Both hands joined in namaste,Salutation prayer respect,images/Anjali.jpg
Anjali,Samyutha,Prayer gesture with folded hands,Salutation prayer respect,images/Anjali.jpg
Anjali,Samyutha,Hands joined together for greeting,Salutation prayer respect,images/Anjali.jpg

Kapota,Samyutha,Hands slightly cupped together,Respect polite conversation,images/Kapota.jpg
Kapota,Samyutha,Joined palms with small gap,Respect polite conversation,images/Kapota.jpg
Kapota,Samyutha,Respectful hand gesture,Respect polite conversation,images/Kapota.jpg

Karkata,Samyutha,Fingers interlocked,Stretching yawning crowd,images/Karkata.jpg
Karkata,Samyutha,Hands with interlocked fingers,Stretching yawning crowd,images/Karkata.jpg
Karkata,Samyutha,Joined fingers gesture,Stretching yawning crowd,images/Karkata.jpg

Swastika,Samyutha,Both hands crossed at the wrists,Good luck auspiciousness,images/Swastika.jpg
Swastika,Samyutha,Crossed hands gesture,Good luck auspiciousness,images/Swastika.jpg
Swastika,Samyutha,Hands crossed over each other,Good luck auspiciousness,images/Swastika.jpg

Dola,Samyutha,Hands resting naturally at the sides,Rest position stillness,images/Dola.jpg
Dola,Samyutha,Both hands placed beside body,Rest position stillness,images/Dola.jpg
Dola,Samyutha,Relaxed hand position near body,Rest position stillness,images/Dola.jpg

Pushpaputa,Samyutha,Hands cupped together as if holding flowers,Offering flowers worship,images/Pushpaputa.jpg
Pushpaputa,Samyutha,Both palms joined like offering bowl,Offering flowers worship,images/Pushpaputa.jpg
Pushpaputa,Samyutha,Cupped hands for offering gesture,Offering flowers worship,images/Pushpaputa.jpg

Utsanga,Samyutha,Hands crossed on chest,Embrace modesty,images/Utsanga.jpg
Utsanga,Samyutha,Both arms folded across chest,Embrace modesty,images/Utsanga.jpg
Utsanga,Samyutha,Chest embrace hand gesture,Embrace modesty,images/Utsanga.jpg

Shivalinga,Samyutha,One hand placed over upright fist,Lord Shiva symbol,images/Shivalinga.jpg
Shivalinga,Samyutha,Hand gesture symbolizing Shiva linga,Lord Shiva symbol,images/Shivalinga.jpg
Shivalinga,Samyutha,Vertical fist with supporting palm,Lord Shiva symbol,images/Shivalinga.jpg

Katakavardhana,Samyutha,Hands forming bracelet shape,Marriage union,images/Katakavardhana.jpg
Katakavardhana,Samyutha,Both hands joined in decorative form,Marriage union,images/Katakavardhana.jpg
Katakavardhana,Samyutha,Marriage symbolic hand gesture,Marriage union,images/Katakavardhana.jpg

Garuda,Samyutha,Thumbs interlocked and fingers spread,Eagle flight power,images/Garuda.jpg
Garuda,Samyutha,Hands spread like bird wings,Eagle flight power,images/Garuda.jpg
Garuda,Samyutha,Interlocked thumbs with open fingers,Eagle flight power,images/Garuda.jpg

Nagabandha,Samyutha,Hands intertwined like snake coils,Serpent binding,images/Nagabandha.jpg
Nagabandha,Samyutha,Snake shaped intertwined hands,Serpent binding,images/Nagabandha.jpg
Nagabandha,Samyutha,Both hands twisted together,Serpent binding,images/Nagabandha.jpg

Matsya,Samyutha,Hands shaped like fish,Fish movement water,images/Matsya.jpg
Matsya,Samyutha,Fish shaped hand gesture,Fish movement water,images/Matsya.jpg
Matsya,Samyutha,Two hands together forming fish, Fish movement water,images/Matsya.jpg

Kurma,Samyutha,Hands arranged like tortoise,Tortoise stability,images/Kurma.jpg
Kurma,Samyutha,Tortoise shaped hand gesture,Tortoise stability,images/Kurma.jpg
Kurma,Samyutha,Hands forming turtle shape,Tortoise stability,images/Kurma.jpg

Varaha,Samyutha,Hands shaped like boar,Boar strength,images/Varaha.jpg
Varaha,Samyutha,Boar shaped hand gesture,Boar strength,images/Varaha.jpg
Varaha,Samyutha,Hands forming boar face,Boar strength,images/Varaha.jpg
